domain,impersonated_outlet,authentic_domain,country,tld,first_seen,campaign,attribution,source,evidence_level,cats_flag,notes
panorana.it,Panorana,panorama.it,IT,it,,IT bufale network,N/A (bufala IT),BUTAC/Bufalopedia,debunker,fake_news_site,typo-squat di panorama.it (Panorana)
papersera.com,Papersera,N/A,IT,com,,IT bufale network,N/A (bufala IT),BUTAC/Bufalopedia,debunker,fake_news_site,
sky24ore.it,Sky 24 ore,sky.it / ilsole24ore.it,IT,it,,IT bufale network,N/A (bufala IT),BUTAC/Bufalopedia,debunker,fake_news_site,fusione nomi 'Sky'+'24 ore'
strafattiquotidiani.wordpress.com,Strafatti Quotidiani,N/A,IT,com,,IT bufale network,N/A (bufala IT),BUTAC/Bufalopedia,debunker,fake_news_site,wordpress
ilgiornaledeiticinesi.info,Il Giornale dei Ticinesi,N/A,CH,info,,IT/CH satira,satira dichiarata,BUTAC/Bufalopedia,debunker,satire_recognizable,Ticino (CH)
lercio.it,Lercio,N/A,IT,it,,IT satira,satira dichiarata,BUTAC/Bufalopedia,debunker,satire_recognizable,testata satirica nota
ticinoinforna.com,Ticino Inforna,N/A,CH,com,,IT/CH satira,satira dichiarata,BUTAC/Bufalopedia,debunker,satire_recognizable,Ticino (CH)
twitter.com/cbugliano,Comune di Bugliano,N/A,IT,com,,IT satira,satira dichiarata,BUTAC/Bufalopedia,debunker,satire_recognizable,comune inesistente; anche Facebook
twitter.com/VigileVittorino,Vigile Vittorino,N/A,IT,com,,IT satira,satira dichiarata,BUTAC/Bufalopedia,debunker,satire_recognizable,personaggio parodia
N/A,AIDAA (associazione),N/A,IT,,,IT fonte sospetta,fonte ricorrente bufale,BUTAC; ENPA Milano,journalistic,suspect_source,AIDAA — associazione fonte ricorrente di bufale animaliste
N/A,Associazione Agitalia,N/A,IT,,,IT fonte sospetta,fonte ricorrente bufale,BUTAC; Il Tirreno 2015-01-14,journalistic,suspect_source,Associazione Agitalia — 'fabbrica delle bufale' (Il Tirreno)
N/A,Avv. Giacinto Canzona,N/A,IT,,,IT fonte sospetta,personaggio fittizio,BUTAC/Bufalopedia,debunker,suspect_source,Avvocato Giacinto Canzona — nome ricorrente in bufale
N/A,Ermes Maiolica,N/A,IT,,,IT fonte sospetta,autore dichiarato di bufale,BUTAC/Bufalopedia,debunker,suspect_source,Ermes Maiolica — noto creatore di bufale/esperimenti
N/A,Lorenzo Croce,N/A,IT,,,IT fonte sospetta,fonte ricorrente bufale,BUTAC/Bufalopedia,debunker,suspect_source,Lorenzo Croce — legato ad AIDAA
N/A,Proto Group,N/A,IT,,,IT fonte sospetta,fonte ricorrente bufale,Bufalopedia 2017-10,debunker,suspect_source,Proto Group — es. bufala Weinstein
N/A,Senatore Cirenga,N/A,IT,,,IT fonte sospetta,personaggio fittizio,BUTAC,debunker,suspect_source,Senatore Cirenga — senatore inesistente (bufala 'emendamento Cirenga')
bbspot.com,BBspot,N/A,US,com,,IT/EN satira,satira/parodia,Bufalopedia 2020-05-05,debunker,satire_recognizable,tech satira
betootaadvocate.com,Betoota Advocate,N/A,AU,com,,satira,satira dichiarata,Bufalopedia 2020-05-05,debunker,satire_recognizable,satira australiana nota
collegehumor.com,College Humor,N/A,US,com,,satira,umorismo dichiarato,Bufalopedia 2020-05-05,debunker,satire_recognizable,
dailybuzzlive.com,Daily Buzz Live,N/A,US,com,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,clickbait/bufale
dailycurrant.com,Daily Currant,N/A,US,com,,satira,satira dichiarata,Bufalopedia 2020-05-05,debunker,satire_recognizable,
empirenews.net,Empire News,N/A,US,net,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,
empiresports.co,Empire Sports News,N/A,US,co,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,sport
freewoodpost.com,Free Wood Post,N/A,US,com,,satira,satira dichiarata,Bufalopedia 2020-05-05,debunker,satire_recognizable,
huzlers.com,Huzlers,N/A,US,com,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,clickbait/bufale
journaldemourreal.com,Journal de Mourreal,N/A,CA,com,,satira,satira dichiarata (FR),Bufalopedia 2020-05-05,debunker,satire_recognizable,parodia Journal de Montreal (Quebec)
lightlybraisedturnip.com,Lightly Brazed Turnip,N/A,US,com,,satira,satira dichiarata,Bufalopedia 2020-05-05,debunker,satire_recognizable,
en.mediamass.net,Mediamass,N/A,INTL,net,,satira,satira/parodia celebrità,Bufalopedia 2020-05-05,debunker,satire_recognizable,bufale su celebrita
nationalreport.net,National Report,N/A,US,net,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,noto per bufale virali
newsexaminer.net,News Examiner,N/A,US,net,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,
newyorker.com/humor/borowitz-report,The Borowitz Report,N/A,US,com,,satira,satira dichiarata (New Yorker),Bufalopedia 2020-05-05,debunker,satire_recognizable,rubrica satirica del New Yorker
thenewsnerd.com,The News Nerd,N/A,US,com,,satira,satira/bufale,Bufalopedia 2020-05-05,debunker,satire_recognizable,
theonion.com,The Onion,N/A,US,com,,satira,satira dichiarata,Bufalopedia 2020-05-05,debunker,satire_recognizable,testata satirica piu nota al mondo
thepoke.co.uk,The Poke,N/A,UK,co.uk,,satira,satira dichiarata,Bufalopedia 2020-05-05,debunker,satire_recognizable,
weeklyworldnews.com,Weekly World News,N/A,US,com,,satira,tabloid parodia,Bufalopedia 2020-05-05,debunker,satire_recognizable,tabloid parodistico storico
worldnewsdailyreport.com,World Daily News Report,N/A,US,com,,fake news,fabbrica di bufale,Bufalopedia 2020-05-05,debunker,fake_news_site,noto per bufale virali
rebubblica.altervista.org,Rebubblica,repubblica.it,IT,org,,IT bufale network,N/A (bufala IT),Bufalopedia 2020-05-05,debunker,fake_news_site,"typo-squat Repubblica; OFFLINE (dismesso, segnalato da Bufalopedia)"
